id,firstname,lastname,email,Campus,Promo,Origine,Recrut_salon,moyenne,Abandon,contrat,ecole_origine,entreprise,duree_recrutement
100,Ira,Gamaliel,Ira.Gamaliel@supinfo.com,paris,2021,Slovenia,YES,2,"yes ",N/A,Wollongong,ascenci,7
101,Fawne,Peonir,Fawne.Peonir@supinfo.com,nantes,2017,"Taiwan, Province of China",YES,5,"yes ",contrat pro,Nanning,javista,6
102,Genovera,Erskine,Genovera.Erskine@supinfo.com,lyon,2017,Cook Islands,NO,2,no,N/A,Lisbon,bnp,1
103,Silvana,Carolin,Silvana.Carolin@supinfo.com,paris,2019,Guinea,NO,4,no,"stage ",George Town,bouyges,6
104,Frances,Hertzfeld,Frances.Hertzfeld@supinfo.com,paris,2017,Cocos (Keeling) Islands,YES,16,no,"alternance ",Jamestown,cgi,7
105,Vere,Tiffa,Vere.Tiffa@supinfo.com,paris,2018,Haiti,NO,15,"yes ","alternance ",Leipzig,societe generale,7
106,Cristine,Faria,Cristine.Faria@supinfo.com,nantes,2019,Jordan,NO,15,"yes ","stage ",Koulikoro,total,6
107,Mathilda,Drus,Mathilda.Drus@supinfo.com,lyon,2018,Latvia,YES,12,"yes ","alternance ",Bissau,google,7
108,Constance,Horan,Constance.Horan@supinfo.com,tours,2018,Syrian Arab Republic,NO,11,"yes ",contrat pro,Malmö,,1
109,Valeda,Forrer,Valeda.Forrer@supinfo.com,nantes,2019,"Macedonia, The Former Yugoslav Republic of",NO,9,"yes ","alternance ",Guayaquil,total,5
110,Tamqrah,Sawtelle,Tamqrah.Sawtelle@supinfo.com,montpellier,2018,"Lao People""S Democratic Republic",NO,15,"yes ","alternance ",Miri,google,8
111,Rosabelle,Morehouse,Rosabelle.Morehouse@supinfo.com,tours,2017,Costa Rica,NO,17,"yes ","alternance ",Hanoi,total,8
112,Gloria,Linehan,Gloria.Linehan@supinfo.com,toulouse,2021,Marshall Islands,NO,7,no,"alternance ",Majuro,capgemini,1
113,Sarette,Annabella,Sarette.Annabella@supinfo.com,tour,2019,Cook Islands,YES,14,no,N/A,Gibraltar,google,10
114,Anestassia,Dudley,Anestassia.Dudley@supinfo.com,tours,2017,Tonga,NO,12,no,N/A,Luxor,,2
115,Sidoney,Nance,Sidoney.Nance@supinfo.com,toulouse,2020,Belize,YES,9,no,contrat pro,Belgrade,societe generale,10
116,Annabela,Danby,Annabela.Danby@supinfo.com,tour,2019,"Congo, The Democratic Republic of the",YES,3,no,"stage ",Tallinn,,3
117,Verla,Gwenore,Verla.Gwenore@supinfo.com,lille,2020,Bahamas,NO,11,no,"stage ",Sri Jayawardenapura-Kotte,total,2
118,Nannie,Presber,Nannie.Presber@supinfo.com,toulouse,2016,Guam,NO,3,"yes ",N/A,Tallinn,total,10
119,Dorothy,Nedrud,Dorothy.Nedrud@supinfo.com,tours,2019,Christmas Island,NO,13,"yes ",contrat pro,Manama,javista,3
120,Ezmeralda,Lipson,Ezmeralda.Lipson@supinfo.com,montpellier,2016,Bangladesh,NO,7,no,"alternance ",Gaza,bnp,3
121,Caressa,Anis,Caressa.Anis@supinfo.com,nantes,2021,Hungary,NO,3,"yes ",contrat pro,Curitiba,orange,7
122,Vita,Cressida,Vita.Cressida@supinfo.com,nantes,2016,Kenya,NO,18,"yes ",N/A,Boston,google,1
123,Kaja,Persse,Kaja.Persse@supinfo.com,paris,2019,Austria,NO,13,no,"alternance ",Jakarta,ascenci,10
124,Raina,Rona,Raina.Rona@supinfo.com,paris,2016,Italy,NO,7,no,N/A,Amsterdam,microsoft,3
125,Mara,Linskey,Mara.Linskey@supinfo.com,montpellier,2017,Uzbekistan,NO,10,"yes ","alternance ",Changchun,bouyges,3
126,Trudie,Tomasina,Trudie.Tomasina@supinfo.com,nantes,2016,Somalia,NO,4,"yes ",N/A,Zhengzhou,javista,7
127,Amalie,Gerge,Amalie.Gerge@supinfo.com,toulouse,2021,Belize,NO,2,no,"alternance ",Vancouver,,8
128,Anica,Alarise,Anica.Alarise@supinfo.com,toulouse,2017,Saint Vincent and the Grenadines,NO,12,"yes ",contrat pro,Francistown,bouyges,5
129,Celisse,Tjon,Celisse.Tjon@supinfo.com,nantes,2017,Burkina Faso,YES,7,"yes ","stage ",Yekaterinburg,ascenci,10
130,Ilse,Ephrem,Ilse.Ephrem@supinfo.com,toulouse,2018,Puerto Rico,YES,13,"yes ","stage ",La Serena,societe generale,6
131,Sybille,Dreda,Sybille.Dreda@supinfo.com,paris,2016,Cayman Islands,NO,18,"yes ","alternance ",Accra,google,9
132,Peri,Phyllis,Peri.Phyllis@supinfo.com,tour,2018,New Zealand,NO,8,no,"alternance ",Kuala Lumpur,ascenci,4
133,Ulrike,Ioab,Ulrike.Ioab@supinfo.com,toulouse,2019,Israel,NO,4,"yes ","alternance ",Whitehorse,bnp,1
134,Jsandye,Thar,Jsandye.Thar@supinfo.com,lille,2016,"Virgin Islands, U.S.",NO,11,"yes ",contrat pro,Pristina,,2
135,Marline,Darian,Marline.Darian@supinfo.com,nantes,2017,Tajikistan,YES,4,"yes ",N/A,Konya,bouyges,2
136,Tracey,Boehike,Tracey.Boehike@supinfo.com,toulouse,2019,Lithuania,NO,5,no,N/A,Kota Bharu,oracle,5
137,Selia,Jethro,Selia.Jethro@supinfo.com,nantes,2017,Anguilla,YES,8,"yes ",N/A,Castries,capgemini,2
138,Laurene,Posner,Laurene.Posner@supinfo.com,paris,2016,Northern Mariana Islands,NO,15,no,contrat pro,Saint John,,2
139,Briney,Pond,Briney.Pond@supinfo.com,toulouse,2020,"Macedonia, The Former Yugoslav Republic of",YES,9,no,"stage ",Antananarivo,cgi,6
140,Cindelyn,Cassius,Cindelyn.Cassius@supinfo.com,paris,2017,Sweden,YES,5,"yes ",N/A,Melekeok,bouyges,2
141,Kenna,Tayib,Kenna.Tayib@supinfo.com,lyon,2018,Nepal,YES,10,no,N/A,Sydney,expanscience,9
142,Augustine,Gibbeon,Augustine.Gibbeon@supinfo.com,tours,2016,Montserrat,YES,5,"yes ",contrat pro,Weno,,6
143,Goldie,Cynar,Goldie.Cynar@supinfo.com,lyon,2017,American Samoa,YES,3,"yes ","alternance ",Cleveland,javista,7
144,Caressa,Moina,Caressa.Moina@supinfo.com,lyon,2021,Comoros,YES,18,no,"stage ",Okinawa,expanscience,5
145,Bettine,Anis,Bettine.Anis@supinfo.com,lille,2020,Singapore,YES,13,"yes ","alternance ",Geneva,capgemini,4
146,Kittie,Pernick,Kittie.Pernick@supinfo.com,montpellier,2017,Somalia,YES,4,"yes ",N/A,Asunción,expanscience,8
147,Leeanne,Libna,Leeanne.Libna@supinfo.com,tour,2019,Cyprus,YES,4,no,"alternance ",Bandung,bouyges,4
148,Evita,Phi,Evita.Phi@supinfo.com,lille,2018,Netherlands Antilles,YES,15,no,contrat pro,Tartu,ascenci,1
149,Myrtice,Henebry,Myrtice.Henebry@supinfo.com,tour,2018,French Polynesia,NO,10,no,N/A,Hyderabad,orange,1
150,Annora,Meli,Annora.Meli@supinfo.com,nantes,2016,Saint Pierre and Miquelon,YES,14,"yes ","alternance ",Podgorica,google,7
151,Feliza,Masao,Feliza.Masao@supinfo.com,lille,2016,"Tanzania, United Republic of",YES,9,"yes ",contrat pro,Cartagena,total,6
152,Lindie,Bivins,Lindie.Bivins@supinfo.com,paris,2017,Georgia,NO,2,"yes ","stage ",Lviv,orange,7
153,Lauryn,Abbot,Lauryn.Abbot@supinfo.com,lyon,2019,Yemen,YES,7,"yes ",N/A,Kano,ascenci,10
154,Karina,Richers,Karina.Richers@supinfo.com,paris,2018,AndorrA,YES,11,"yes ",N/A,Osaka,,2
155,Dode,Jotham,Dode.Jotham@supinfo.com,tours,2018,Bahrain,NO,6,no,N/A,Manchester,expanscience,5
156,Nessie,Urania,Nessie.Urania@supinfo.com,tour,2019,Czech Republic,YES,9,"yes ","alternance ",Lyon,bnp,4
157,Rayna,Chandler,Rayna.Chandler@supinfo.com,lille,2017,Malta,YES,13,"yes ",contrat pro,Almaty,capgemini,8
158,Gwyneth,Vittoria,Gwyneth.Vittoria@supinfo.com,tour,2021,Brazil,YES,5,"yes ","stage ",Naples,total,3
159,Odessa,Jeanne,Odessa.Jeanne@supinfo.com,tours,2021,Mozambique,NO,13,"yes ",contrat pro,Bilbao,capgemini,6
160,Oralee,Kamaria,Oralee.Kamaria@supinfo.com,tour,2018,Nigeria,YES,8,"yes ","stage ",Port Said,bnp,2
161,Pierette,Elbertina,Pierette.Elbertina@supinfo.com,nantes,2018,Saint Lucia,YES,16,"yes ",N/A,Djibouti (city),google,3
162,Jessy,Vernier,Jessy.Vernier@supinfo.com,paris,2021,Samoa,NO,15,"yes ",N/A,Da Nang,bouyges,2
163,Vivia,Thilda,Vivia.Thilda@supinfo.com,montpellier,2020,Estonia,YES,4,no,contrat pro,Buenos Aires,capgemini,4
164,Vevay,Phi,Vevay.Phi@supinfo.com,montpellier,2016,Bahrain,YES,3,no,contrat pro,Gold Coast,,3
165,Gloria,Hartnett,Gloria.Hartnett@supinfo.com,montpellier,2021,Egypt,YES,3,"yes ",N/A,Dili,oracle,7
166,Daphne,Chem,Daphne.Chem@supinfo.com,toulouse,2017,French Guiana,YES,16,no,"stage ",Adak,google,4
